Cruise:,TXF13,,,,,,,,
nd:,not determined,,,,,,,,
Comment:,"This data set is for the Seward Line only. Additional chl samples collected from the SEM, SEL, SEK, SEJ, SEI, SEG, SEE, SEC, SEA, YBC and KIB lines can be found on the GOA-IERP/AOOS Workspace",,,,,,,,
CTD_Cast,Station_Name,Date,Niskin,Depth_m,Size_Fraction,<20_Chl_A (µg/L),>20_Chl_A (µg/L),Total_Chl_A (µg/L),Total_Phaeo (µg/L)
112,GAK1,9/26/2013,12,0,>20,1.5,,,
112,GAK1,9/26/2013,11,10,>20,0.13,,,
112,GAK1,9/26/2013,10,20,>20,0.1,,,
112,GAK1,9/26/2013,8,30,>20,0.06,,,
112,GAK1,9/26/2013,7,40,>20,0.12,,,
112,GAK1,9/26/2013,6,50,>20,0.02,,,
112,GAK1,9/26/2013,12,0,Total,5.36,,,
112,GAK1,9/26/2013,11,10,Total,0.41,,,
112,GAK1,9/26/2013,10,20,Total,0.29,,,
112,GAK1,9/26/2013,8,30,Total,0.2,,,
112,GAK1,9/26/2013,7,40,Total,0.48,,,
112,GAK1,9/26/2013,6,50,Total,0.07,,,
112,GAK1,9/26/2013,12,0,Total_Phaeo (µg/L),0.41,,,
112,GAK1,9/26/2013,11,10,Total_Phaeo (µg/L),0.13,,,
112,GAK1,9/26/2013,10,20,Total_Phaeo (µg/L),0.09,,,
112,GAK1,9/26/2013,8,30,Total_Phaeo (µg/L),0.07,,,
112,GAK1,9/26/2013,7,40,Total_Phaeo (µg/L),0.06,,,
112,GAK1,9/26/2013,6,50,Total_Phaeo (µg/L),0,,,
