TXS13,,,,,,
Pigment list for file merging,,,,,,
,,,,,,
CTD_Cast,Station_Name,Date,Niskin,Depth_m,Size_Fraction,Chl-a_ug/L
19,HL193,4/29/2013,2,45,Total,3.7
19,HL193,4/29/2013,7,0,Total_Phaeo (µg/L),0.97
19,HL193,4/29/2013,6,10,Total_Phaeo (µg/L),1.71
19,HL193,4/29/2013,5,20,Total_Phaeo (µg/L),2.48
19,HL193,4/29/2013,4,30,Total_Phaeo (µg/L),0.66
19,HL193,4/29/2013,2,45,Total_Phaeo (µg/L),0.51
20,HP193,4/29/2013,10,0,<20,0.55
20,HP193,4/29/2013,8,10,<20,0.44
20,HP193,4/29/2013,7,20,<20,0.45
20,HP193,4/29/2013,6,30,<20,0.36
20,HP193,4/29/2013,5,40,<20,0.32
20,HP193,4/29/2013,4,50,<20,0.39
20,HP193,4/29/2013,10,0,>20,3.02
20,HP193,4/29/2013,8,10,>20,2.17
20,HP193,4/29/2013,7,20,>20,2.85
20,HP193,4/29/2013,6,30,>20,2.62
20,HP193,4/29/2013,5,40,>20,2.82
20,HP193,4/29/2013,4,50,>20,2.39
20,HP193,4/29/2013,10,0,Total,3.57
20,HP193,4/29/2013,8,10,Total,2.61
20,HP193,4/29/2013,7,20,Total,3.3
20,HP193,4/29/2013,6,30,Total,2.98
20,HP193,4/29/2013,5,40,Total,3.15
20,HP193,4/29/2013,4,50,Total,2.79
20,HP193,4/29/2013,10,0,Total_Phaeo (µg/L),0.18
20,HP193,4/29/2013,8,10,Total_Phaeo (µg/L),1.38
20,HP193,4/29/2013,7,20,Total_Phaeo (µg/L),0.36
20,HP193,4/29/2013,6,30,Total_Phaeo (µg/L),0.47
20,HP193,4/29/2013,5,40,Total_Phaeo (µg/L),0.8
20,HP193,4/29/2013,4,50,Total_Phaeo (µg/L),0.88
21,HT193,4/30/2013,11,0,<20,1.29
21,HT193,4/30/2013,10,10,<20,0.91
21,HT193,4/30/2013,8,20,<20,1.04
21,HT193,4/30/2013,7,30,<20,0.98
21,HT193,4/30/2013,6,40,<20,0.92
21,HT193,4/30/2013,5,50,<20,0.94
21,HT193,4/30/2013,11,0,>20,4.82
21,HT193,4/30/2013,10,10,>20,5.15
21,HT193,4/30/2013,8,20,>20,5.03
21,HT193,4/30/2013,7,30,>20,5.45
21,HT193,4/30/2013,6,40,>20,4.69
21,HT193,4/30/2013,5,50,>20,4.36
21,HT193,4/30/2013,11,0,Total,6.11
21,HT193,4/30/2013,10,10,Total,6.07
21,HT193,4/30/2013,8,20,Total,6.07
21,HT193,4/30/2013,7,30,Total,6.43
21,HT193,4/30/2013,6,40,Total,5.62
21,HT193,4/30/2013,5,50,Total,5.3
21,HT193,4/30/2013,11,0,Total_Phaeo (µg/L),0.81
21,HT193,4/30/2013,10,10,Total_Phaeo (µg/L),0.82
21,HT193,4/30/2013,8,20,Total_Phaeo (µg/L),0.63
21,HT193,4/30/2013,7,30,Total_Phaeo (µg/L),1.02
21,HT193,4/30/2013,6,40,Total_Phaeo (µg/L),2.32
21,HT193,4/30/2013,5,50,Total_Phaeo (µg/L),1.27
22,HX193,4/30/2013,12,0,<20,0.96
22,HX193,4/30/2013,11,10,<20,0.6
22,HX193,4/30/2013,10,20,<20,0.61
22,HX193,4/30/2013,8,40,<20,0.72
22,HX193,4/30/2013,7,50,<20,0.54
22,HX193,4/30/2013,12,0,>20,5.66
22,HX193,4/30/2013,11,10,>20,6.24
22,HX193,4/30/2013,10,20,>20,5.87
22,HX193,4/30/2013,8,40,>20,5.78
22,HX193,4/30/2013,7,50,>20,3.56
22,HX193,4/30/2013,12,0,Total,6.62
22,HX193,4/30/2013,11,10,Total,6.84
22,HX193,4/30/2013,10,20,Total,6.47
22,HX193,4/30/2013,8,40,Total,6.51
22,HX193,4/30/2013,7,50,Total,4.1
22,HX193,4/30/2013,12,0,Total_Phaeo (µg/L),0.88
22,HX193,4/30/2013,11,10,Total_Phaeo (µg/L),0.78
22,HX193,4/30/2013,10,20,Total_Phaeo (µg/L),1.09
22,HX193,4/30/2013,8,40,Total_Phaeo (µg/L),0.95
22,HX193,4/30/2013,7,50,Total_Phaeo (µg/L),0.73
23,HX197,4/30/2013,12,0,<20,0.51
23,HX197,4/30/2013,11,10,<20,0.53
23,HX197,4/30/2013,10,20,<20,0.34
23,HX197,4/30/2013,8,40,<20,0.27
23,HX197,4/30/2013,7,50,<20,0.21
23,HX197,4/30/2013,12,0,>20,5.15
23,HX197,4/30/2013,11,10,>20,4.44
23,HX197,4/30/2013,10,20,>20,2.32
23,HX197,4/30/2013,8,40,>20,1.78
23,HX197,4/30/2013,7,50,>20,0.41
23,HX197,4/30/2013,12,0,Total,5.66
23,HX197,4/30/2013,11,10,Total,4.97
23,HX197,4/30/2013,10,20,Total,2.66
23,HX197,4/30/2013,8,40,Total,2.05
23,HX197,4/30/2013,7,50,Total,0.62
23,HX197,4/30/2013,12,0,Total_Phaeo (µg/L),1.17
23,HX197,4/30/2013,11,10,Total_Phaeo (µg/L),2.07
23,HX197,4/30/2013,10,20,Total_Phaeo (µg/L),1.27
23,HX197,4/30/2013,8,40,Total_Phaeo (µg/L),1.23
23,HX197,4/30/2013,7,50,Total_Phaeo (µg/L),0.59
25,HT197,4/30/2013,10,0,<20,0.31
25,HT197,4/30/2013,9,10,<20,0.32
25,HT197,4/30/2013,7,30,<20,0.35
25,HT197,4/30/2013,6,40,<20,0.34
25,HT197,4/30/2013,5,50,<20,0.34
25,HT197,4/30/2013,10,0,>20,1.84
25,HT197,4/30/2013,9,10,>20,2.46
25,HT197,4/30/2013,7,30,>20,2.85
25,HT197,4/30/2013,6,40,>20,2.8
25,HT197,4/30/2013,5,50,>20,2.67
25,HT197,4/30/2013,10,0,Total,2.16
25,HT197,4/30/2013,9,10,Total,2.78
25,HT197,4/30/2013,7,30,Total,3.2
25,HT197,4/30/2013,6,40,Total,3.14
25,HT197,4/30/2013,5,50,Total,3.01
25,HT197,4/30/2013,10,0,Total_Phaeo (µg/L),2.03
25,HT197,4/30/2013,9,10,Total_Phaeo (µg/L),1.72
25,HT197,4/30/2013,7,30,Total_Phaeo (µg/L),1.68
25,HT197,4/30/2013,6,40,Total_Phaeo (µg/L),1.39
25,HT197,4/30/2013,5,50,Total_Phaeo (µg/L),1.34
27,HP197,4/30/2013,9,0,<20,0.32
27,HP197,4/30/2013,8,10,<20,0.32
27,HP197,4/30/2013,7,20,<20,0.33
27,HP197,4/30/2013,6,30,<20,0.32
27,HP197,4/30/2013,5,40,<20,0.36
27,HP197,4/30/2013,4,50,<20,0.31
27,HP197,4/30/2013,9,0,>20,2.82
27,HP197,4/30/2013,8,10,>20,2.52
27,HP197,4/30/2013,7,20,>20,2.18
27,HP197,4/30/2013,6,30,>20,2.65
27,HP197,4/30/2013,5,40,>20,2.74
27,HP197,4/30/2013,4,50,>20,3.24
27,HP197,4/30/2013,9,0,Total,3.14
27,HP197,4/30/2013,8,10,Total,2.84
27,HP197,4/30/2013,7,20,Total,2.51
27,HP197,4/30/2013,6,30,Total,2.97
27,HP197,4/30/2013,5,40,Total,3.11
27,HP197,4/30/2013,4,50,Total,3.55
27,HP197,4/30/2013,9,0,Total_Phaeo (µg/L),0.69
27,HP197,4/30/2013,8,10,Total_Phaeo (µg/L),1.56
27,HP197,4/30/2013,7,20,Total_Phaeo (µg/L),1.79
27,HP197,4/30/2013,6,30,Total_Phaeo (µg/L),1.37
27,HP197,4/30/2013,5,40,Total_Phaeo (µg/L),1.59
27,HP197,4/30/2013,4,50,Total_Phaeo (µg/L),1.01
28,HL197,4/30/2013,10,0,<20,0.54
28,HL197,4/30/2013,9,10,<20,0.56
28,HL197,4/30/2013,8,20,<20,0.46
28,HL197,4/30/2013,7,30,<20,0.45
28,HL197,4/30/2013,6,40,<20,0.41
28,HL197,4/30/2013,5,50,<20,0.54
28,HL197,4/30/2013,10,0,>20,2.77
28,HL197,4/30/2013,9,10,>20,3
28,HL197,4/30/2013,8,20,>20,3.35
28,HL197,4/30/2013,7,30,>20,3.44
28,HL197,4/30/2013,6,40,>20,3.27
28,HL197,4/30/2013,5,50,>20,3.06
28,HL197,4/30/2013,10,0,Total,3.31
28,HL197,4/30/2013,9,10,Total,3.56
28,HL197,4/30/2013,8,20,Total,3.81
28,HL197,4/30/2013,7,30,Total,3.88
28,HL197,4/30/2013,6,40,Total,3.68
28,HL197,4/30/2013,5,50,Total,3.6
28,HL197,4/30/2013,10,0,Total_Phaeo (µg/L),0.69
28,HL197,4/30/2013,9,10,Total_Phaeo (µg/L),0.6
28,HL197,4/30/2013,8,20,Total_Phaeo (µg/L),1.09
28,HL197,4/30/2013,7,30,Total_Phaeo (µg/L),1.09
28,HL197,4/30/2013,6,40,Total_Phaeo (µg/L),1.39
28,HL197,4/30/2013,5,50,Total_Phaeo (µg/L),1.37
30,HH197,5/1/2013,10,0,<20,2.07
30,HH197,5/1/2013,8,10,<20,0.43
30,HH197,5/1/2013,7,20,<20,0.35
30,HH197,5/1/2013,6,30,<20,0.4
30,HH197,5/1/2013,5,40,<20,0.52
30,HH197,5/1/2013,4,50,<20,0.47
30,HH197,5/1/2013,10,0,>20,2.64
30,HH197,5/1/2013,8,10,>20,4.32
30,HH197,5/1/2013,7,20,>20,3.81
30,HH197,5/1/2013,6,30,>20,4.02
30,HH197,5/1/2013,5,40,>20,2.93
30,HH197,5/1/2013,4,50,>20,4.15
30,HH197,5/1/2013,10,0,Total,4.71
30,HH197,5/1/2013,8,10,Total,4.74
30,HH197,5/1/2013,7,20,Total,4.16
30,HH197,5/1/2013,6,30,Total,4.43
30,HH197,5/1/2013,5,40,Total,3.45
30,HH197,5/1/2013,4,50,Total,4.62
30,HH197,5/1/2013,10,0,Total_Phaeo (µg/L),0.85
30,HH197,5/1/2013,8,10,Total_Phaeo (µg/L),1.26
30,HH197,5/1/2013,7,20,Total_Phaeo (µg/L),1.73
30,HH197,5/1/2013,6,30,Total_Phaeo (µg/L),1.36
30,HH197,5/1/2013,5,40,Total_Phaeo (µg/L),2.65
30,HH197,5/1/2013,4,50,Total_Phaeo (µg/L),1.35
31,HD197,5/1/2013,10,0,<20,0.39
31,HD197,5/1/2013,8,10,<20,0.5
31,HD197,5/1/2013,7,20,<20,1.14
31,HD197,5/1/2013,6,30,<20,0.85
31,HD197,5/1/2013,5,40,<20,0.48
31,HD197,5/1/2013,4,50,<20,0.48
31,HD197,5/1/2013,10,0,>20,3.35
31,HD197,5/1/2013,8,10,>20,2.81
31,HD197,5/1/2013,7,20,>20,2.61
31,HD197,5/1/2013,6,30,>20,2.77
31,HD197,5/1/2013,5,40,>20,3.02
31,HD197,5/1/2013,4,50,>20,3.18
31,HD197,5/1/2013,10,0,Total,3.74
31,HD197,5/1/2013,8,10,Total,3.31
31,HD197,5/1/2013,7,20,Total,3.75
31,HD197,5/1/2013,6,30,Total,3.62
31,HD197,5/1/2013,5,40,Total,3.49
31,HD197,5/1/2013,4,50,Total,3.67
31,HD197,5/1/2013,10,0,Total_Phaeo (µg/L),1.19
31,HD197,5/1/2013,8,10,Total_Phaeo (µg/L),1.59
31,HD197,5/1/2013,7,20,Total_Phaeo (µg/L),0.6
31,HD197,5/1/2013,6,30,Total_Phaeo (µg/L),0.86
31,HD197,5/1/2013,5,40,Total_Phaeo (µg/L),1.64
31,HD197,5/1/2013,4,50,Total_Phaeo (µg/L),1.64
32,HX209,5/2/2013,12,0,<20,1.24
32,HX209,5/2/2013,11,10,<20,2.07
32,HX209,5/2/2013,10,20,<20,1.64
32,HX209,5/2/2013,8,40,<20,0.38
32,HX209,5/2/2013,7,50,<20,0.25
32,HX209,5/2/2013,12,0,>20,10.9
32,HX209,5/2/2013,11,10,>20,9.22
32,HX209,5/2/2013,10,20,>20,7.46
32,HX209,5/2/2013,8,40,>20,1.15
32,HX209,5/2/2013,7,50,>20,0.39
32,HX209,5/2/2013,12,0,Total,12.13
